compiler,compiler_flags,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,IDX6,IDX7,INSTRUCTIONS_RETIRED,CFG,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,CL_IDX6,CL_IDX7,DiscardedpapiValues,DiscardedtimeValues,DiscardedtscValues,FLOPSs,GATHER,N_CL,N_SET,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,SET_IDX6,SET_IDX7,time,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_GPR_GPR_MEM,vmovdqa_YMM_GPR_GPR_LABEL,SCATTER,kxnorb_GPR_GPR_GPR,vmovq_XMM_GPR,vscatterdps_IMM_YMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,7,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294117647.0588235,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4000000000000003e-09,7.556542857142857,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,7,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218068535.82554516,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.585714285714286e-09,10.715857142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,128,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,295358649.7890295,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.3857142857142864e-09,7.255771428571429,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,128,7.073114285714285,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,213414634.14634144,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.685714285714286e-09,11.010457142857144,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,8192,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,285714285.7142858,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499999999999999e-09,7.43802857142857,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,6,8192,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,202898550.7246377,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9285714285714285e-09,11.910285714285715,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,112,7,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,281124497.99196786,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.5571428571428577e-09,7.5524,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,112,7,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,219435736.67711598,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.5571428571428575e-09,10.757657142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,112,128,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,312500000.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,3.1999999999999997e-09,7.227542857142857,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,112,128,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,218068535.82554516,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,4.585714285714286e-09,10.72837142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,112,8192,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,7.0,512.0,0.0,0.0,0.0,285714285.7142858,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.499999999999999e-09,7.473257142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,112,8192,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,7.0,512.0,0.0,0.0,0.0,206489675.51622424,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.8428571428571414e-09,11.034800000000002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,7168,7,5.073228571428571,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,286885245.9016394,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.485714285714285e-09,7.444114285714286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,7168,7,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,201729106.62824208,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.957142857142857e-09,11.042028571428572,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,7168,128,5.073214285714286,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,448.0,8.0,0.0,0.0,0.0,274509803.9215687,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.6428571428571423e-09,7.723657142857142,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,7168,128,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,448.0,8.0,0.0,0.0,0.0,206489675.51622418,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.842857142857143e-09,11.041371428571427,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,7168,8192,5.073299999999999,-DGATHER,0.0,0.0,0.0,0.0,0.0,0.0,448.0,512.0,0.0,0.0,0.0,277777777.7777778,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996e-09,7.692857142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,5,7168,8192,7.0733000000000015,-DSCATTER,0.0,0.0,0.0,0.0,0.0,0.0,448.0,512.0,0.0,0.0,0.0,188679245.28301886,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-09,11.382285714285715,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,6,7,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,294117647.0588235,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.4000000000000003e-09,7.246742857142857,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,6,7,7.073114285714285,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,212121212.1212121,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.7142857142857145e-09,10.99645714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,6,128,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,294117647.0588235,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,3.4000000000000003e-09,7.220057142857144,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,6,128,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,218068535.82554516,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,4.585714285714286e-09,11.044942857142859,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,6,8192,5.073214285714286,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,512.0,0.0,0.0,0.0,285714285.7142858,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.499999999999999e-09,7.498885714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,6,8192,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,0.0,512.0,0.0,0.0,0.0,212121212.12121215,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.714285714285714e-09,11.056314285714285,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,112,7,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,294117647.0588235,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,3.4000000000000003e-09,7.376971428571428,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,112,7,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,218068535.82554516,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,4.585714285714286e-09,10.739342857142855,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,112,128,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,312500000.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,3.2e-09,7.616314285714286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,112,128,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,197740112.9943503,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,5.057142857142856e-09,10.699971428571429,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,112,8192,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,7.0,512.0,0.0,0.0,0.0,285714285.7142858,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,3.499999999999999e-09,7.530714285714287,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,112,8192,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,7.0,512.0,0.0,0.0,0.0,212121212.12121215,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,4.714285714285714e-09,11.010285714285715,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,7168,7,5.073214285714286,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,448.0,0.0,0.0,0.0,0.0,285714285.7142858,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.499999999999999e-09,7.750428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,7168,7,7.073214285714286,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,448.0,0.0,0.0,0.0,0.0,202898550.72463766,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.928571428571429e-09,11.404285714285717,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,7168,128,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,448.0,8.0,0.0,0.0,0.0,285714285.7142858,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,3.499999999999999e-09,7.452457142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,7168,128,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,448.0,8.0,0.0,0.0,0.0,204081632.65306127,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,4.899999999999999e-09,11.046771428571429,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,7168,8192,5.073314285714285,-DGATHER,0.0,0.0,0.0,0.0,0.0,6.0,448.0,512.0,0.0,0.0,0.0,276679841.8972332,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.6142857142857142e-09,7.718057142857142,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,96,7168,8192,7.0733000000000015,-DSCATTER,0.0,0.0,0.0,0.0,0.0,6.0,448.0,512.0,0.0,0.0,0.0,204081632.6530612,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.9e-09,11.351285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,6,7,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,285714285.7142858,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499999999999999e-09,7.448057142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,6,7,7.073214285714286,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,209580838.3233533,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7714285714285715e-09,11.024628571428574,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,6,128,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,0.0,8.0,0.0,0.0,0.0,286885245.9016394,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.485714285714285e-09,7.415828571428571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,6,128,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,0.0,8.0,0.0,0.0,0.0,212121212.12121215,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.714285714285714e-09,11.004942857142856,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,6,8192,5.073299999999999,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,0.0,512.0,0.0,0.0,0.0,256410256.41025645,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899999999999999e-09,7.663371428571429,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,6,8192,7.0733000000000015,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,0.0,512.0,0.0,0.0,0.0,191256830.6010929,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228571428571429e-09,11.512057142857142,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,112,7,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,7.0,0.0,0.0,0.0,0.0,285714285.7142858,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.499999999999999e-09,7.441057142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,112,7,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,7.0,0.0,0.0,0.0,0.0,206489675.51622418,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.842857142857143e-09,11.06697142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,112,128,5.0732,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,7.0,8.0,0.0,0.0,0.0,286885245.9016394,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,3.485714285714285e-09,7.488285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,112,128,7.0732,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,7.0,8.0,0.0,0.0,0.0,211480362.53776437,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,4.728571428571428e-09,11.054485714285715,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,112,8192,5.073299999999999,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,7.0,512.0,0.0,0.0,0.0,276679841.89723325,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.6142857142857134e-09,7.691571428571428,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,112,8192,7.0733000000000015,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,7.0,512.0,0.0,0.0,0.0,191256830.60109293,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.228571428571428e-09,11.344685714285713,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,7168,7,5.073299999999999,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,448.0,0.0,0.0,0.0,0.0,266159695.81749052,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.757142857142857e-09,8.048599999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,7168,7,7.0733000000000015,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,448.0,0.0,0.0,0.0,0.0,188679245.28301886,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-09,11.416400000000001,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,7168,128,5.073299999999999,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,448.0,8.0,0.0,0.0,0.0,277777777.7777778,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.5999999999999996e-09,7.954371428571428,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,7168,128,7.0733000000000015,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,448.0,8.0,0.0,0.0,0.0,188172043.01075268,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.314285714285715e-09,11.419571428571428,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,7168,8192,5.0734,-DGATHER,0.0,0.0,0.0,0.0,0.0,384.0,448.0,512.0,0.0,0.0,0.0,256410256.4102564,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-09,7.936999999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,6144,7168,8192,7.0734,-DSCATTER,0.0,0.0,0.0,0.0,0.0,384.0,448.0,512.0,0.0,0.0,0.0,181347150.25906736,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514285714285714e-09,11.75597142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,6,7,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,294117647.0588235,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.4000000000000003e-09,7.270657142857142,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,6,7,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,217391304.34782606,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.600000000000001e-09,10.753028571428572,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,6,128,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,294117647.0588235,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,3.4000000000000003e-09,7.0680571428571435,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,6,128,7.073128571428571,-DSCATTER,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,218750000.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,4.571428571428571e-09,11.02137142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,6,8192,5.0732,-DGATHER,0.0,0.0,0.0,0.0,5.0,0.0,0.0,512.0,0.0,0.0,0.0,273437500.0000001,1.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.6571428571428557e-09,7.518857142857144,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,6,8192,7.073214285714286,-DSCATTER,0.0,0.0,0.0,0.0,5.0,0.0,0.0,512.0,0.0,0.0,0.0,204081632.65306127,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.899999999999999e-09,11.664657142857141,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,112,7,5.073100000000001,-DGATHER,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,294117647.0588235,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,3.4000000000000003e-09,7.2092,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,112,7,7.073114285714285,-DSCATTER,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,218068535.82554516,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,4.585714285714286e-09,10.904914285714284,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,112,128,5.0731142857142855,-DGATHER,0.0,0.0,0.0,0.0,5.0,0.0,7.0,8.0,0.0,0.0,0.0,303030303.030303,1.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,8.0,3.3e-09,7.259628571428571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0058199999999997
gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,80,5,112,128,7.073099999999998,-DSCATTER,0.0,0.0,0.0,0.0,5.0,0.0,7.0,8.0,0.0,0.0,0.0,217391304.34782606,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,8.0,4.600000000000001e-09,10.762142857142859,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0058199999999997
